id;name;surname;speciality;email
1;Michael;Roizen;ANESTHESIOLOGY;michaelRoizen@gmail.com
2;Edward;Lowenstein;ANESTHESIOLOGY;edLowenstein@gmail.com
3;Linda;Mason;ANESTHESIOLOGY;lindaMason@gmail.com
4;Shawn;Sabin;DERMATOLOGY;shawnSabin@gmail.com
5;Daniel;Bortnick;DERMATOLOGY;danielBort@gmail.com
6;Elizabeth;Spenceri;DERMATOLOGY;elizabethSpenceri@gmail.com
7;Roberta;Bondar;NEUROLOGY;robertaBondar@gmail.com
8;Virkor;Frankl;NEUROLOGY;viktorFrankl@gmail.com
9;Duchenne;de Boulogne;NEUROLOGY;duchenneDeBoulogne@gmail.com
10;Carol;Shields;OPHTHALMOLOGY;carolShields@gmail.com
11;Ike;Ahmed;OPHTHALMOLOGY;ikeAhmed@gmail.com
12;Boris;Malyugin;OPHTHALMOLOGY;borisMalyugin@gmail.com
13;Mitchell;Weinberg;PEDIATRICS;mitchellWeinberg@gmail.com
14;Brian;D. Johnston;PEDIATRICS;brianJohnson@gmail.com
15;Justin;Heistand;PEDIATRICS;justinHeistand@gmail.com
16;Kathy;Rumer;SURGERY;kathyRumer@gmail.com
17;Scott;Mosser;SURGERY;scottMosser@gmail.com
18;Walter;Lin;SURGERY;walterLin@gmail.com
